,from,to,value,study
680,enalapril,chlorthalidone,46654,CCAE
681,eplerenone,chlorthalidone,0,CCAE
682,eprosartan,chlorthalidone,0,CCAE
683,felodipine,chlorthalidone,16545,CCAE
684,fosinopril,chlorthalidone,18199,CCAE
685,furosemide,chlorthalidone,43356,CCAE
686,guanfacine,chlorthalidone,0,CCAE
687,hydralazine,chlorthalidone,15465,CCAE
688,hydrochlorothiazide,chlorthalidone,299245,CCAE
689,indapamide,chlorthalidone,16474,CCAE
690,irbesartan,chlorthalidone,30348,CCAE
691,isradipine,chlorthalidone,0,CCAE
692,labetalol,chlorthalidone,51193,CCAE
693,lisinopril,chlorthalidone,651900,CCAE
694,losartan,chlorthalidone,115067,CCAE
695,methyldopa,chlorthalidone,23023,CCAE
696,metolazone,chlorthalidone,0,CCAE
697,metoprolol,chlorthalidone,189796,CCAE
698,minoxidil,chlorthalidone,0,CCAE
699,moexipril,chlorthalidone,0,CCAE
700,nadolol,chlorthalidone,17328,CCAE
701,nebivolol,chlorthalidone,40117,CCAE
702,nicardipine,chlorthalidone,0,CCAE
703,nifedipine,chlorthalidone,40839,CCAE
704,nisoldipine,chlorthalidone,0,CCAE
705,olmesartan,chlorthalidone,54563,CCAE
706,penbutolol,chlorthalidone,0,CCAE
707,perindopril,chlorthalidone,0,CCAE
708,pindolol,chlorthalidone,0,CCAE
709,prazosin,chlorthalidone,0,CCAE
710,propranolol,chlorthalidone,42211,CCAE
711,quinapril,chlorthalidone,26095,CCAE
712,ramipril,chlorthalidone,52424,CCAE
713,spironolactone,chlorthalidone,23417,CCAE
714,telmisartan,chlorthalidone,25389,CCAE
715,terazosin,chlorthalidone,18158,CCAE
716,torsemide,chlorthalidone,0,CCAE
717,trandolapril,chlorthalidone,0,CCAE
718,triamterene,chlorthalidone,0,CCAE
719,valsartan,chlorthalidone,64713,CCAE
720,verapamil,chlorthalidone,27573,CCAE
721,co-amilozide,chlorthalidone,0,CCAE
722,diltiazem,clonidine,37063,CCAE
723,doxazosin,clonidine,23440,CCAE
724,enalapril,clonidine,51233,CCAE
725,eplerenone,clonidine,0,CCAE
726,eprosartan,clonidine,0,CCAE
727,felodipine,clonidine,21123,CCAE
728,fosinopril,clonidine,22783,CCAE
729,furosemide,clonidine,47933,CCAE
730,guanfacine,clonidine,0,CCAE
731,hydralazine,clonidine,20040,CCAE
732,hydrochlorothiazide,clonidine,303825,CCAE
733,indapamide,clonidine,21050,CCAE
734,irbesartan,clonidine,34919,CCAE
735,isradipine,clonidine,0,CCAE
736,labetalol,clonidine,55769,CCAE
737,lisinopril,clonidine,656483,CCAE
738,losartan,clonidine,119645,CCAE
739,methyldopa,clonidine,27599,CCAE
740,metolazone,clonidine,0,CCAE
741,metoprolol,clonidine,194375,CCAE
742,minoxidil,clonidine,0,CCAE
743,moexipril,clonidine,0,CCAE
744,nadolol,clonidine,21904,CCAE
745,nebivolol,clonidine,39721,CCAE
746,nicardipine,clonidine,0,CCAE
747,nifedipine,clonidine,45413,CCAE
748,nisoldipine,clonidine,0,CCAE
749,olmesartan,clonidine,58594,CCAE
750,penbutolol,clonidine,0,CCAE
751,perindopril,clonidine,0,CCAE
752,pindolol,clonidine,0,CCAE
753,prazosin,clonidine,0,CCAE
754,propranolol,clonidine,46786,CCAE
755,quinapril,clonidine,30683,CCAE
756,ramipril,clonidine,56999,CCAE
757,spironolactone,clonidine,27991,CCAE
758,telmisartan,clonidine,29964,CCAE
759,terazosin,clonidine,22733,CCAE
760,torsemide,clonidine,0,CCAE
761,trandolapril,clonidine,0,CCAE
762,triamterene,clonidine,0,CCAE
763,valsartan,clonidine,69026,CCAE
764,verapamil,clonidine,32150,CCAE
765,co-amilozide,clonidine,0,CCAE
766,doxazosin,diltiazem,23355,CCAE
767,enalapril,diltiazem,51150,CCAE
768,eplerenone,diltiazem,0,CCAE
769,eprosartan,diltiazem,0,CCAE
770,felodipine,diltiazem,21043,CCAE
771,fosinopril,diltiazem,22701,CCAE
772,furosemide,diltiazem,47850,CCAE
773,guanfacine,diltiazem,0,CCAE
774,hydralazine,diltiazem,19952,CCAE
775,hydrochlorothiazide,diltiazem,303743,CCAE
776,indapamide,diltiazem,20966,CCAE
777,irbesartan,diltiazem,34832,CCAE
778,isradipine,diltiazem,0,CCAE
779,labetalol,diltiazem,55686,CCAE
780,lisinopril,diltiazem,656400,CCAE
781,losartan,diltiazem,119560,CCAE
782,methyldopa,diltiazem,27514,CCAE
783,metolazone,diltiazem,0,CCAE
784,metoprolol,diltiazem,194294,CCAE
785,minoxidil,diltiazem,0,CCAE
786,moexipril,diltiazem,0,CCAE
787,nadolol,diltiazem,21822,CCAE
788,nebivolol,diltiazem,38262,CCAE
789,nicardipine,diltiazem,0,CCAE
790,nifedipine,diltiazem,45328,CCAE
791,nisoldipine,diltiazem,0,CCAE
792,olmesartan,diltiazem,58022,CCAE
793,penbutolol,diltiazem,0,CCAE
794,perindopril,diltiazem,0,CCAE
795,pindolol,diltiazem,0,CCAE
796,prazosin,diltiazem,0,CCAE
797,propranolol,diltiazem,46701,CCAE
798,quinapril,diltiazem,30601,CCAE
799,ramipril,diltiazem,56915,CCAE
800,spironolactone,diltiazem,27906,CCAE
801,telmisartan,diltiazem,29880,CCAE
802,terazosin,diltiazem,22660,CCAE
803,torsemide,diltiazem,0,CCAE
804,trandolapril,diltiazem,0,CCAE
805,triamterene,diltiazem,0,CCAE
806,valsartan,diltiazem,68598,CCAE
807,verapamil,diltiazem,32067,CCAE
808,co-amilozide,diltiazem,0,CCAE
809,enalapril,doxazosin,37525,CCAE
810,eplerenone,doxazosin,0,CCAE
811,eprosartan,doxazosin,0,CCAE
812,felodipine,doxazosin,7427,CCAE
813,fosinopril,doxazosin,9091,CCAE
814,furosemide,doxazosin,34225,CCAE
815,guanfacine,doxazosin,0,CCAE
816,hydralazine,doxazosin,6335,CCAE
817,hydrochlorothiazide,doxazosin,290117,CCAE
818,indapamide,doxazosin,7356,CCAE
819,irbesartan,doxazosin,21211,CCAE
820,isradipine,doxazosin,0,CCAE
821,labetalol,doxazosin,42061,CCAE
822,lisinopril,doxazosin,642775,CCAE
823,losartan,doxazosin,105937,CCAE
824,methyldopa,doxazosin,13894,CCAE
825,metolazone,doxazosin,0,CCAE
826,metoprolol,doxazosin,180667,CCAE
827,minoxidil,doxazosin,0,CCAE
828,moexipril,doxazosin,0,CCAE
829,nadolol,doxazosin,8208,CCAE
830,nebivolol,doxazosin,30016,CCAE
831,nicardipine,doxazosin,0,CCAE
832,nifedipine,doxazosin,31705,CCAE
833,nisoldipine,doxazosin,0,CCAE
834,olmesartan,doxazosin,45133,CCAE
835,penbutolol,doxazosin,0,CCAE
836,perindopril,doxazosin,0,CCAE
837,pindolol,doxazosin,0,CCAE
838,prazosin,doxazosin,0,CCAE
839,propranolol,doxazosin,33078,CCAE
840,quinapril,doxazosin,16991,CCAE
841,ramipril,doxazosin,43291,CCAE
842,spironolactone,doxazosin,14283,CCAE
843,telmisartan,doxazosin,16256,CCAE
844,terazosin,doxazosin,9059,CCAE
845,torsemide,doxazosin,0,CCAE
846,trandolapril,doxazosin,0,CCAE
847,triamterene,doxazosin,0,CCAE
848,valsartan,doxazosin,55383,CCAE
849,verapamil,doxazosin,18443,CCAE
850,co-amilozide,doxazosin,0,CCAE
851,eplerenone,enalapril,0,CCAE
852,eprosartan,enalapril,0,CCAE
853,felodipine,enalapril,35208,CCAE
854,fosinopril,enalapril,36871,CCAE
855,furosemide,enalapril,62020,CCAE
856,guanfacine,enalapril,0,CCAE
857,hydralazine,enalapril,34120,CCAE
858,hydrochlorothiazide,enalapril,317913,CCAE
859,indapamide,enalapril,35132,CCAE
860,irbesartan,enalapril,48999,CCAE
861,isradipine,enalapril,0,CCAE
862,labetalol,enalapril,69856,CCAE
863,lisinopril,enalapril,670570,CCAE
864,losartan,enalapril,133730,CCAE
865,methyldopa,enalapril,41678,CCAE
866,metolazone,enalapril,0,CCAE
867,metoprolol,enalapril,208463,CCAE
868,minoxidil,enalapril,0,CCAE
869,moexipril,enalapril,0,CCAE
870,nadolol,enalapril,35984,CCAE
871,nebivolol,enalapril,47565,CCAE
872,nicardipine,enalapril,0,CCAE
873,nifedipine,enalapril,59498,CCAE
874,nisoldipine,enalapril,0,CCAE
875,olmesartan,enalapril,71964,CCAE
876,penbutolol,enalapril,0,CCAE
877,perindopril,enalapril,0,CCAE
878,pindolol,enalapril,0,CCAE
879,prazosin,enalapril,0,CCAE
880,propranolol,enalapril,60871,CCAE
881,quinapril,enalapril,44767,CCAE
882,ramipril,enalapril,71087,CCAE
883,spironolactone,enalapril,42076,CCAE
884,telmisartan,enalapril,44050,CCAE
885,terazosin,enalapril,36826,CCAE
886,torsemide,enalapril,0,CCAE
887,trandolapril,enalapril,0,CCAE
888,triamterene,enalapril,0,CCAE
889,valsartan,enalapril,82771,CCAE
890,verapamil,enalapril,46237,CCAE
891,co-amilozide,enalapril,0,CCAE
892,eprosartan,eplerenone,0,CCAE
893,felodipine,eplerenone,0,CCAE
894,fosinopril,eplerenone,0,CCAE
895,furosemide,eplerenone,0,CCAE
896,guanfacine,eplerenone,0,CCAE
897,hydralazine,eplerenone,0,CCAE
898,hydrochlorothiazide,eplerenone,0,CCAE
899,indapamide,eplerenone,0,CCAE
900,irbesartan,eplerenone,0,CCAE
901,isradipine,eplerenone,0,CCAE
902,labetalol,eplerenone,0,CCAE
903,lisinopril,eplerenone,0,CCAE
904,losartan,eplerenone,0,CCAE
905,methyldopa,eplerenone,0,CCAE
906,metolazone,eplerenone,0,CCAE
907,metoprolol,eplerenone,0,CCAE
908,minoxidil,eplerenone,0,CCAE
909,moexipril,eplerenone,0,CCAE
910,nadolol,eplerenone,0,CCAE
911,nebivolol,eplerenone,0,CCAE
912,nicardipine,eplerenone,0,CCAE
913,nifedipine,eplerenone,0,CCAE
914,nisoldipine,eplerenone,0,CCAE
915,olmesartan,eplerenone,0,CCAE
916,penbutolol,eplerenone,0,CCAE
917,perindopril,eplerenone,0,CCAE
918,pindolol,eplerenone,0,CCAE
919,prazosin,eplerenone,0,CCAE
920,propranolol,eplerenone,0,CCAE
921,quinapril,eplerenone,0,CCAE
922,ramipril,eplerenone,0,CCAE
923,spironolactone,eplerenone,0,CCAE
924,telmisartan,eplerenone,0,CCAE
925,terazosin,eplerenone,0,CCAE
926,torsemide,eplerenone,0,CCAE
927,trandolapril,eplerenone,0,CCAE
928,triamterene,eplerenone,0,CCAE
929,valsartan,eplerenone,0,CCAE
930,verapamil,eplerenone,0,CCAE
931,co-amilozide,eplerenone,0,CCAE
932,felodipine,eprosartan,0,CCAE
933,fosinopril,eprosartan,0,CCAE
934,furosemide,eprosartan,0,CCAE
935,guanfacine,eprosartan,0,CCAE
936,hydralazine,eprosartan,0,CCAE
937,hydrochlorothiazide,eprosartan,0,CCAE
938,indapamide,eprosartan,0,CCAE
939,irbesartan,eprosartan,0,CCAE
940,isradipine,eprosartan,0,CCAE
941,labetalol,eprosartan,0,CCAE
942,lisinopril,eprosartan,0,CCAE
943,losartan,eprosartan,0,CCAE
944,methyldopa,eprosartan,0,CCAE
945,metolazone,eprosartan,0,CCAE
946,metoprolol,eprosartan,0,CCAE
947,minoxidil,eprosartan,0,CCAE
948,moexipril,eprosartan,0,CCAE
949,nadolol,eprosartan,0,CCAE
950,nebivolol,eprosartan,0,CCAE
951,nicardipine,eprosartan,0,CCAE
952,nifedipine,eprosartan,0,CCAE
953,nisoldipine,eprosartan,0,CCAE
954,olmesartan,eprosartan,0,CCAE
955,penbutolol,eprosartan,0,CCAE
956,perindopril,eprosartan,0,CCAE
957,pindolol,eprosartan,0,CCAE
958,prazosin,eprosartan,0,CCAE
959,propranolol,eprosartan,0,CCAE
960,quinapril,eprosartan,0,CCAE
961,ramipril,eprosartan,0,CCAE
962,spironolactone,eprosartan,0,CCAE
963,telmisartan,eprosartan,0,CCAE
964,terazosin,eprosartan,0,CCAE
965,torsemide,eprosartan,0,CCAE
966,trandolapril,eprosartan,0,CCAE
967,triamterene,eprosartan,0,CCAE
968,valsartan,eprosartan,0,CCAE
969,verapamil,eprosartan,0,CCAE
970,co-amilozide,eprosartan,0,CCAE
971,fosinopril,felodipine,6790,CCAE
972,furosemide,felodipine,31914,CCAE
973,guanfacine,felodipine,0,CCAE
974,hydralazine,felodipine,4033,CCAE
975,hydrochlorothiazide,felodipine,287690,CCAE
976,indapamide,felodipine,5055,CCAE
977,irbesartan,felodipine,18905,CCAE
978,isradipine,felodipine,0,CCAE
979,labetalol,felodipine,39724,CCAE
980,lisinopril,felodipine,640103,CCAE
981,losartan,felodipine,103502,CCAE
982,methyldopa,felodipine,11592,CCAE
983,metolazone,felodipine,0,CCAE
984,metoprolol,felodipine,178279,CCAE
985,minoxidil,felodipine,0,CCAE
986,moexipril,felodipine,0,CCAE
987,nadolol,felodipine,5907,CCAE
988,nebivolol,felodipine,0,CCAE
989,nicardipine,felodipine,0,CCAE
990,nifedipine,felodipine,29382,CCAE
991,nisoldipine,felodipine,0,CCAE
992,olmesartan,felodipine,0,CCAE
993,penbutolol,felodipine,0,CCAE
994,perindopril,felodipine,0,CCAE
995,pindolol,felodipine,0,CCAE
996,prazosin,felodipine,0,CCAE
997,propranolol,felodipine,30751,CCAE
998,quinapril,felodipine,14689,CCAE
999,ramipril,felodipine,40971,CCAE
1000,spironolactone,felodipine,11968,CCAE
1001,telmisartan,felodipine,13954,CCAE
1002,terazosin,felodipine,6757,CCAE
1003,torsemide,felodipine,0,CCAE
1004,trandolapril,felodipine,0,CCAE
1005,triamterene,felodipine,0,CCAE
1006,valsartan,felodipine,0,CCAE
1007,verapamil,felodipine,16136,CCAE
1008,co-amilozide,felodipine,0,CCAE
1009,furosemide,fosinopril,33573,CCAE
1010,guanfacine,fosinopril,0,CCAE
1011,hydralazine,fosinopril,5692,CCAE
1012,hydrochlorothiazide,fosinopril,289311,CCAE
1013,indapamide,fosinopril,6716,CCAE
1014,irbesartan,fosinopril,20563,CCAE
1015,isradipine,fosinopril,0,CCAE
1016,labetalol,fosinopril,41372,CCAE
1017,lisinopril,fosinopril,641593,CCAE
1018,losartan,fosinopril,105107,CCAE
1019,methyldopa,fosinopril,13249,CCAE
1020,metolazone,fosinopril,0,CCAE
1021,metoprolol,fosinopril,179913,CCAE
1022,minoxidil,fosinopril,0,CCAE
1023,moexipril,fosinopril,0,CCAE
1024,nadolol,fosinopril,7566,CCAE
1025,nebivolol,fosinopril,0,CCAE
1026,nicardipine,fosinopril,0,CCAE
1027,nifedipine,fosinopril,31033,CCAE
1028,nisoldipine,fosinopril,0,CCAE
1029,olmesartan,fosinopril,44126,CCAE
1030,penbutolol,fosinopril,0,CCAE
1031,perindopril,fosinopril,0,CCAE
1032,pindolol,fosinopril,0,CCAE
1033,prazosin,fosinopril,0,CCAE
1034,propranolol,fosinopril,32408,CCAE
1035,quinapril,fosinopril,16355,CCAE
1036,ramipril,fosinopril,42630,CCAE
1037,spironolactone,fosinopril,13628,CCAE
1038,telmisartan,fosinopril,15617,CCAE
1039,terazosin,fosinopril,8424,CCAE
1040,torsemide,fosinopril,0,CCAE
1041,trandolapril,fosinopril,0,CCAE
1042,triamterene,fosinopril,0,CCAE
1043,valsartan,fosinopril,54507,CCAE
1044,verapamil,fosinopril,17799,CCAE
1045,co-amilozide,fosinopril,0,CCAE
1046,guanfacine,furosemide,0,CCAE
1047,hydralazine,furosemide,30822,CCAE
1048,hydrochlorothiazide,furosemide,314613,CCAE
1049,indapamide,furosemide,31839,CCAE
1050,irbesartan,furosemide,45702,CCAE
1051,isradipine,furosemide,0,CCAE
1052,labetalol,furosemide,66556,CCAE
1053,lisinopril,furosemide,667270,CCAE
1054,losartan,furosemide,130430,CCAE
1055,methyldopa,furosemide,38383,CCAE
1056,metolazone,furosemide,0,CCAE
1057,metoprolol,furosemide,205164,CCAE
1058,minoxidil,furosemide,0,CCAE
1059,moexipril,furosemide,0,CCAE
1060,nadolol,furosemide,32692,CCAE
1061,nebivolol,furosemide,47630,CCAE
1062,nicardipine,furosemide,0,CCAE
1063,nifedipine,furosemide,56198,CCAE
1064,nisoldipine,furosemide,0,CCAE
1065,olmesartan,furosemide,69011,CCAE
1066,penbutolol,furosemide,0,CCAE
1067,perindopril,furosemide,0,CCAE
1068,pindolol,furosemide,0,CCAE
1069,prazosin,furosemide,0,CCAE
1070,propranolol,furosemide,57571,CCAE
1071,quinapril,furosemide,41469,CCAE
1072,ramipril,furosemide,67785,CCAE
1073,spironolactone,furosemide,38776,CCAE
1074,telmisartan,furosemide,40753,CCAE
1075,terazosin,furosemide,33531,CCAE
1076,torsemide,furosemide,0,CCAE
1077,trandolapril,furosemide,0,CCAE
1078,triamterene,furosemide,0,CCAE
1079,valsartan,furosemide,79504,CCAE
1080,verapamil,furosemide,42939,CCAE
1081,co-amilozide,furosemide,0,CCAE
1082,hydralazine,guanfacine,0,CCAE
1083,hydrochlorothiazide,guanfacine,0,CCAE
1084,indapamide,guanfacine,0,CCAE
1085,irbesartan,guanfacine,0,CCAE
1086,isradipine,guanfacine,0,CCAE
1087,labetalol,guanfacine,0,CCAE
1088,lisinopril,guanfacine,0,CCAE
1089,losartan,guanfacine,0,CCAE
1090,methyldopa,guanfacine,0,CCAE
1091,metolazone,guanfacine,0,CCAE
1092,metoprolol,guanfacine,0,CCAE
1093,minoxidil,guanfacine,0,CCAE
1094,moexipril,guanfacine,0,CCAE
1095,nadolol,guanfacine,0,CCAE
1096,nebivolol,guanfacine,0,CCAE
1097,nicardipine,guanfacine,0,CCAE
1098,nifedipine,guanfacine,0,CCAE
1099,nisoldipine,guanfacine,0,CCAE
1100,olmesartan,guanfacine,0,CCAE
1101,penbutolol,guanfacine,0,CCAE
1102,perindopril,guanfacine,0,CCAE
1103,pindolol,guanfacine,0,CCAE
1104,prazosin,guanfacine,0,CCAE
1105,propranolol,guanfacine,0,CCAE
1106,quinapril,guanfacine,0,CCAE
1107,ramipril,guanfacine,0,CCAE
1108,spironolactone,guanfacine,0,CCAE
1109,telmisartan,guanfacine,0,CCAE
1110,terazosin,guanfacine,0,CCAE
1111,torsemide,guanfacine,0,CCAE
1112,trandolapril,guanfacine,0,CCAE
1113,triamterene,guanfacine,0,CCAE
1114,valsartan,guanfacine,0,CCAE
1115,verapamil,guanfacine,0,CCAE
1116,co-amilozide,guanfacine,0,CCAE
1117,hydrochlorothiazide,hydralazine,286661,CCAE
1118,indapamide,hydralazine,3963,CCAE
1119,irbesartan,hydralazine,17815,CCAE
1120,isradipine,hydralazine,0,CCAE
1121,labetalol,hydralazine,38647,CCAE
1122,lisinopril,hydralazine,639217,CCAE
1123,losartan,hydralazine,102496,CCAE
1124,methyldopa,hydralazine,10504,CCAE
1125,metolazone,hydralazine,0,CCAE
1126,metoprolol,hydralazine,177221,CCAE
1127,minoxidil,hydralazine,0,CCAE
1128,moexipril,hydralazine,0,CCAE
1129,nadolol,hydralazine,4815,CCAE
1130,nebivolol,hydralazine,28297,CCAE
1131,nicardipine,hydralazine,0,CCAE
1132,nifedipine,hydralazine,28300,CCAE
1133,nisoldipine,hydralazine,0,CCAE
1134,olmesartan,hydralazine,42053,CCAE
1135,penbutolol,hydralazine,0,CCAE
1136,perindopril,hydralazine,0,CCAE
1137,pindolol,hydralazine,0,CCAE
1138,prazosin,hydralazine,0,CCAE
1139,propranolol,hydralazine,29668,CCAE
1140,quinapril,hydralazine,13588,CCAE
1141,ramipril,hydralazine,39885,CCAE
1142,spironolactone,hydralazine,10881,CCAE
1143,telmisartan,hydralazine,12866,CCAE
1144,terazosin,hydralazine,5665,CCAE
1145,torsemide,hydralazine,0,CCAE
1146,trandolapril,hydralazine,0,CCAE
1147,triamterene,hydralazine,0,CCAE
1148,valsartan,hydralazine,52192,CCAE
1149,verapamil,hydralazine,15042,CCAE
1150,co-amilozide,hydralazine,0,CCAE
1151,indapamide,hydrochlorothiazide,287590,CCAE
1152,irbesartan,hydrochlorothiazide,301583,CCAE
1153,isradipine,hydrochlorothiazide,0,CCAE
1154,labetalol,hydrochlorothiazide,322449,CCAE
1155,lisinopril,hydrochlorothiazide,923163,CCAE
1156,losartan,hydrochlorothiazide,386322,CCAE
1157,methyldopa,hydrochlorothiazide,294230,CCAE
1158,metolazone,hydrochlorothiazide,0,CCAE
1159,metoprolol,hydrochlorothiazide,461057,CCAE
1160,minoxidil,hydrochlorothiazide,0,CCAE
1161,moexipril,hydrochlorothiazide,0,CCAE
1162,nadolol,hydrochlorothiazide,288465,CCAE
1163,nebivolol,hydrochlorothiazide,224477,CCAE
1164,nicardipine,hydrochlorothiazide,0,CCAE
1165,nifedipine,hydrochlorothiazide,312090,CCAE
1166,nisoldipine,hydrochlorothiazide,0,CCAE
1167,olmesartan,hydrochlorothiazide,321098,CCAE
1168,penbutolol,hydrochlorothiazide,0,CCAE
1169,perindopril,hydrochlorothiazide,0,CCAE
1170,pindolol,hydrochlorothiazide,0,CCAE
1171,prazosin,hydrochlorothiazide,0,CCAE
1172,propranolol,hydrochlorothiazide,313463,CCAE
1173,quinapril,hydrochlorothiazide,297153,CCAE
1174,ramipril,hydrochlorothiazide,323678,CCAE
1175,spironolactone,hydrochlorothiazide,294668,CCAE
1176,telmisartan,hydrochlorothiazide,296618,CCAE
1177,terazosin,hydrochlorothiazide,289081,CCAE
1178,torsemide,hydrochlorothiazide,0,CCAE
1179,trandolapril,hydrochlorothiazide,0,CCAE
1180,triamterene,hydrochlorothiazide,0,CCAE
1181,valsartan,hydrochlorothiazide,333472,CCAE
1182,verapamil,hydrochlorothiazide,298816,CCAE
1183,co-amilozide,hydrochlorothiazide,0,CCAE
1184,irbesartan,indapamide,18836,CCAE
1185,isradipine,indapamide,0,CCAE
1186,labetalol,indapamide,39646,CCAE
1187,lisinopril,indapamide,639932,CCAE
1188,losartan,indapamide,103393,CCAE
1189,methyldopa,indapamide,11522,CCAE
1190,metolazone,indapamide,0,CCAE
1191,metoprolol,indapamide,178192,CCAE
1192,minoxidil,indapamide,0,CCAE
1193,moexipril,indapamide,0,CCAE
1194,nadolol,indapamide,5838,CCAE
1195,nebivolol,indapamide,0,CCAE
1196,nicardipine,indapamide,0,CCAE
1197,nifedipine,indapamide,29306,CCAE
1198,nisoldipine,indapamide,0,CCAE
1199,olmesartan,indapamide,0,CCAE
1200,penbutolol,indapamide,0,CCAE
1201,perindopril,indapamide,0,CCAE
1202,pindolol,indapamide,0,CCAE
1203,prazosin,indapamide,0,CCAE
1204,propranolol,indapamide,30678,CCAE
1205,quinapril,indapamide,14614,CCAE
1206,ramipril,indapamide,40897,CCAE
1207,spironolactone,indapamide,11897,CCAE
1208,telmisartan,indapamide,13884,CCAE
1209,terazosin,indapamide,6688,CCAE
1210,torsemide,indapamide,0,CCAE
1211,trandolapril,indapamide,0,CCAE
1212,triamterene,indapamide,0,CCAE
1213,valsartan,indapamide,0,CCAE
1214,verapamil,indapamide,16061,CCAE
1215,co-amilozide,indapamide,0,CCAE
1216,isradipine,irbesartan,0,CCAE
1217,labetalol,irbesartan,53537,CCAE
1218,lisinopril,irbesartan,654222,CCAE
1219,losartan,irbesartan,117405,CCAE
1220,methyldopa,irbesartan,25375,CCAE
1221,metolazone,irbesartan,0,CCAE
1222,metoprolol,irbesartan,192136,CCAE
1223,minoxidil,irbesartan,0,CCAE
1224,moexipril,irbesartan,0,CCAE
1225,nadolol,irbesartan,19688,CCAE
1226,nebivolol,irbesartan,34347,CCAE
1227,nicardipine,irbesartan,0,CCAE
1228,nifedipine,irbesartan,43184,CCAE
1229,nisoldipine,irbesartan,0,CCAE
1230,olmesartan,irbesartan,56175,CCAE
1231,penbutolol,irbesartan,0,CCAE
1232,perindopril,irbesartan,0,CCAE
1233,pindolol,irbesartan,0,CCAE
1234,prazosin,irbesartan,0,CCAE
1235,propranolol,irbesartan,44556,CCAE
1236,quinapril,irbesartan,28459,CCAE
1237,ramipril,irbesartan,54768,CCAE
1238,spironolactone,irbesartan,25761,CCAE
1239,telmisartan,irbesartan,27738,CCAE
1240,terazosin,irbesartan,20525,CCAE
1241,torsemide,irbesartan,0,CCAE
1242,trandolapril,irbesartan,0,CCAE
1243,triamterene,irbesartan,0,CCAE
1244,valsartan,irbesartan,66645,CCAE
1245,verapamil,irbesartan,29919,CCAE
1246,co-amilozide,irbesartan,0,CCAE
1247,labetalol,isradipine,0,CCAE
1248,lisinopril,isradipine,0,CCAE
1249,losartan,isradipine,0,CCAE
1250,methyldopa,isradipine,0,CCAE
1251,metolazone,isradipine,0,CCAE
1252,metoprolol,isradipine,0,CCAE
1253,minoxidil,isradipine,0,CCAE
1254,moexipril,isradipine,0,CCAE
1255,nadolol,isradipine,0,CCAE
1256,nebivolol,isradipine,0,CCAE
1257,nicardipine,isradipine,0,CCAE
1258,nifedipine,isradipine,0,CCAE
1259,nisoldipine,isradipine,0,CCAE
1260,olmesartan,isradipine,0,CCAE
1261,penbutolol,isradipine,0,CCAE
1262,perindopril,isradipine,0,CCAE
1263,pindolol,isradipine,0,CCAE
1264,prazosin,isradipine,0,CCAE
1265,propranolol,isradipine,0,CCAE
1266,quinapril,isradipine,0,CCAE
1267,ramipril,isradipine,0,CCAE
1268,spironolactone,isradipine,0,CCAE
1269,telmisartan,isradipine,0,CCAE
1270,terazosin,isradipine,0,CCAE
1271,torsemide,isradipine,0,CCAE
1272,trandolapril,isradipine,0,CCAE
1273,triamterene,isradipine,0,CCAE
1274,valsartan,isradipine,0,CCAE
1275,verapamil,isradipine,0,CCAE
1276,co-amilozide,isradipine,0,CCAE
1277,lisinopril,labetalol,675106,CCAE
1278,losartan,labetalol,138266,CCAE
1279,methyldopa,labetalol,46204,CCAE
1280,metolazone,labetalol,0,CCAE
1281,metoprolol,labetalol,213000,CCAE
1282,minoxidil,labetalol,0,CCAE
1283,moexipril,labetalol,0,CCAE
1284,nadolol,labetalol,40503,CCAE
1285,nebivolol,labetalol,59285,CCAE
1286,nicardipine,labetalol,0,CCAE
1287,nifedipine,labetalol,64034,CCAE
1288,nisoldipine,labetalol,0,CCAE
1289,olmesartan,labetalol,77516,CCAE
1290,penbutolol,labetalol,0,CCAE
1291,perindopril,labetalol,0,CCAE
1292,pindolol,labetalol,0,CCAE
1293,prazosin,labetalol,0,CCAE
1294,propranolol,labetalol,65407,CCAE
1295,quinapril,labetalol,49257,CCAE
1296,ramipril,labetalol,75621,CCAE
1297,spironolactone,labetalol,46612,CCAE
1298,telmisartan,labetalol,48583,CCAE
1299,terazosin,labetalol,41295,CCAE
1300,torsemide,labetalol,0,CCAE
1301,trandolapril,labetalol,0,CCAE
1302,triamterene,labetalol,0,CCAE
1303,valsartan,labetalol,87750,CCAE
1304,verapamil,labetalol,50770,CCAE
1305,co-amilozide,labetalol,0,CCAE
1306,losartan,lisinopril,738980,CCAE
1307,methyldopa,lisinopril,646796,CCAE
1308,metolazone,lisinopril,0,CCAE
1309,metoprolol,lisinopril,813714,CCAE
1310,minoxidil,lisinopril,0,CCAE
1311,moexipril,lisinopril,0,CCAE
1312,nadolol,lisinopril,640875,CCAE
1313,nebivolol,lisinopril,567022,CCAE
1314,nicardipine,lisinopril,0,CCAE
1315,nifedipine,lisinopril,664748,CCAE
1316,nisoldipine,lisinopril,0,CCAE
1317,olmesartan,lisinopril,672885,CCAE
1318,penbutolol,lisinopril,0,CCAE
1319,perindopril,lisinopril,0,CCAE
1320,pindolol,lisinopril,0,CCAE
1321,prazosin,lisinopril,0,CCAE
1322,propranolol,lisinopril,666121,CCAE
1323,quinapril,lisinopril,649289,CCAE
1324,ramipril,lisinopril,676335,CCAE
1325,spironolactone,lisinopril,647326,CCAE
1326,telmisartan,lisinopril,649222,CCAE
1327,terazosin,lisinopril,640959,CCAE
